,school_name,country
324,Shanghai Jiao Tong University,China
325,Sharif University of Technology,Iran
326,Sungkyunkwan University (SKKU),South Korea
327,University College Cork,Republic of Ireland
328,University of Aveiro,Portugal
329,University of Canterbury,New Zealand
330,University of Eastern Finland,Finland
331,University of Ferrara,Italy
332,University of Hertfordshire,United Kingdom
333,University of Houston,United States of America
334,University of Hull,United Kingdom
335,University of Liège,Belgium
336,University of Manitoba,Canada
337,"University of Maryland, Baltimore County",United States of America
338,University of Modena and Reggio Emilia,Italy
339,University of Oklahoma,United States of America
340,University of Pisa,Italy
341,University of Porto,Portugal
342,University of South Florida,United States of America
343,University of Stirling,United Kingdom
344,University of Surrey,United Kingdom
345,University of Tampere,Finland
346,University of Tasmania,Australia
347,University of Valencia,Spain
348,University of Waikato,New Zealand
349,University of Warsaw,Poland
350,Vienna University of Technology,Austria
351,Vrije Universiteit Brussel,Belgium
352,Washington State University,United States of America
353,Aston University,United Kingdom
354,Auburn University,United States of America
355,Clemson University,United States of America
356,Curtin University,Australia
357,Deakin University,Australia
358,Flinders University,Australia
359,Georgia State University,United States of America
360,Griffith University,Australia
361,Harbin Institute of Technology,China
362,Heriot-Watt University,United Kingdom
363,Hiroshima University,Japan
364,Kansas State University,United States of America
365,Kobe University,Japan
366,Kyung Hee University,South Korea
367,La Trobe University,Australia
368,Leibniz University of Hanover,Germany
369,Liverpool John Moores University,United Kingdom
370,Loughborough University,United Kingdom
371,Mahidol University,Thailand
372,Massey University,New Zealand
373,Michigan Technological University,United States of America
374,National Central University,Taiwan
375,National Taiwan Ocean University,Taiwan
376,"National University of Ireland, Galway",Republic of Ireland
377,"National University of Ireland, Maynooth",Republic of Ireland
378,New Jersey Institute of Technology,United States of America
379,New University of Lisbon,Portugal
380,Old Dominion University,United States of America
381,Polytechnic University of Catalonia,Spain
382,Polytechnic University of Turin,Italy
383,Polytechnic University of Valencia,Spain
384,Pontifical Catholic University of Chile,Chile
385,Saint Petersburg State University,Russian Federation
386,Swansea University,United Kingdom
387,Swinburne University of Technology,Australia
388,Tokyo University of Agriculture and Technology,Japan
389,University of Bari Aldo Moro,Italy
390,University of Coimbra,Portugal
391,University of Idaho,United States of America
392,University of Kent,United Kingdom
393,University of Paris North – Paris 13,France
394,University of Salento,Italy
395,University of South Australia,Australia
396,University of Strathclyde,United Kingdom
397,University of Tartu,Estonia
398,University of Turku,Finland
399,University of Wyoming,United States of America
400,University of Zaragoza,Spain
401,Waseda University,Japan
402,Wuhan University,China
403,Yuan Ze University,Taiwan
