,world_rank,university_name,national_rank,total_score,alumni,award,hici,ns,pub,pcp,year
267,203-300,University of Houston,91-119,,0.0,0.0,22.2,8.1,33.9,16.7,2005
268,203-300,University of Innsbruck,2,,0.0,11.2,7.9,19.2,29.8,16.1,2005
269,203-300,University of Kansas - Lawrence,91-119,,15.4,0.0,7.9,15.3,32.3,14.4,2005
270,203-300,University of Karlsruhe,17-23,,6.3,0.0,11.1,13.9,33.0,16.0,2005
271,203-300,University of Kentucky,91-119,,14.0,0.0,7.9,9.6,43.5,17.4,2005
272,203-300,University of Liege,5-6,,10.9,0.0,7.9,10.7,30.3,23.2,2005
273,203-300,University of Manitoba,9-17,,0.0,0.0,17.6,7.1,33.9,16.5,2005
274,203-300,University of Massachusetts Medical School - Worcester,91-119,,0.0,0.0,13.6,24.4,28.2,16.9,2005
275,203-300,University of Medicine and Dentistry New Jersey,91-119,,0.0,0.0,22.2,10.1,33.6,17.6,2005
276,203-300,University of Missouri - Columbia,91-119,,12.5,0.0,7.9,13.1,41.8,14.5,2005
277,203-300,University of Montpellier 2,9-13,,14.0,0.0,13.6,16.9,31.2,16.7,2005
278,203-300,University of Naples Federico II,6-9,,0.0,0.0,7.9,9.1,42.1,12.4,2005
279,203-300,University of Oregon,91-119,,14.0,0.0,11.1,23.1,28.5,18.3,2005
280,203-300,University of Ottawa,9-17,,0.0,0.0,7.9,12.5,37.6,17.2,2005
281,203-300,University of Saskatchewan,9-17,,12.5,0.0,17.6,6.2,32.9,16.5,2005
282,203-300,University of South Carolina - Columbia,91-119,,0.0,0.0,13.6,16.0,35.9,17.0,2005
283,203-300,University of South Florida,91-119,,0.0,0.0,15.7,9.9,36.6,13.7,2005
284,203-300,University of Southern Denmark,4,,0.0,0.0,15.7,13.5,28.9,15.1,2005
285,203-300,University of St Andrews,20-30,,14.0,0.0,7.9,22.0,30.8,17.0,2005
286,203-300,University of Stuttgart,17-23,,17.7,0.0,7.9,8.6,30.1,14.6,2005
287,203-300,University of Szeged,1,,0.0,15.8,7.9,8.7,24.7,13.4,2005
288,203-300,University of Turku,2,,0.0,0.0,11.1,12.7,33.6,16.0,2005
289,203-300,University of Vermont,91-119,,17.7,0.0,15.7,11.2,28.6,20.5,2005
290,203-300,University of Victoria,9-17,,0.0,0.0,13.6,12.3,30.1,15.0,2005
291,203-300,University of Warwick,20-30,,0.0,0.0,11.1,14.1,33.9,16.3,2005
